Dataset,Category,Subgroup,Score,Endpoint,N,N_events,Is_Testable,Effect_r,Wilcoxon_FDR_P,HR_perSD,HR_lower,HR_upper,Cox_FDR_P,C_index,KM_logrank_FDR_P
TCGA-COAD,PDS,PDS1,Down_ssGSEA,RFS,122,30,TRUE,-0.13,0.871,1.36,0.94,1.95,0.46,0.59,0.782
GSE39582,PDS,PDS1,Composite_ssGSEA,OS,196,31,TRUE,0.03,0.82,0.88,0.62,1.26,0.736,0.51,0.848
TCGA-COAD,PDS,PDS1,Composite_ssGSEA,OS,122,22,TRUE,-0.06,0.944,1.1,0.71,1.69,0.855,0.51,0.878
GSE39582,PDS,PDS1,Composite_ssGSEA,RFS,193,41,TRUE,-0.02,0.902,1.02,0.75,1.39,0.957,0.5,0.883
TCGA-COAD,PDS,PDS1,Composite_ssGSEA,RFS,122,30,TRUE,-0.02,0.871,0.91,0.63,1.32,0.7,0.51,0.782
GSE39582,PDS,PDS2,Up_ssGSEA,OS,131,41,TRUE,-0.22,0.134,1.59,1.13,2.25,0.036,0.6,0.454
TCGA-COAD,PDS,PDS2,Up_ssGSEA,OS,144,27,TRUE,-0.21,0.309,1.42,1,2.02,0.261,0.62,0.42
GSE39582,PDS,PDS2,Up_ssGSEA,RFS,131,44,TRUE,-0.25,0.126,1.34,0.98,1.83,0.182,0.56,0.286
TCGA-COAD,PDS,PDS2,Up_ssGSEA,RFS,144,39,TRUE,-0.2,0.539,1.21,0.89,1.64,0.984,0.54,0.806
GSE39582,PDS,PDS2,Down_ssGSEA,OS,131,41,TRUE,0.26,0.088,0.66,0.48,0.91,0.037,0.61,0.211
TCGA-COAD,PDS,PDS2,Down_ssGSEA,OS,144,27,TRUE,0,0.971,0.94,0.64,1.4,0.876,0.52,0.923
GSE39582,PDS,PDS2,Down_ssGSEA,RFS,131,44,TRUE,0.16,0.271,0.79,0.59,1.06,0.182,0.58,0.286
TCGA-COAD,PDS,PDS2,Down_ssGSEA,RFS,144,39,TRUE,-0.22,0.539,1.11,0.8,1.55,0.984,0.54,0.806
GSE39582,PDS,PDS2,Composite_ssGSEA,OS,131,41,TRUE,-0.29,0.067,1.79,1.28,2.52,0.007,0.64,0.129
TCGA-COAD,PDS,PDS2,Composite_ssGSEA,OS,144,27,TRUE,-0.21,0.309,1.41,0.99,2.02,0.261,0.61,0.492
GSE39582,PDS,PDS2,Composite_ssGSEA,RFS,131,44,TRUE,-0.27,0.126,1.4,1.04,1.89,0.121,0.58,0.286
TCGA-COAD,PDS,PDS2,Composite_ssGSEA,RFS,144,39,TRUE,-0.09,0.762,1.12,0.82,1.52,0.984,0.51,0.806
GSE39582,PDS,PDS3,Up_ssGSEA,OS,131,30,TRUE,-0.15,0.47,1.34,0.92,1.95,0.275,0.56,0.645
TCGA-COAD,PDS,PDS3,Up_ssGSEA,OS,91,16,TRUE,-0,0.996,1,0.63,1.58,0.999,0.53,0.929
GSE39582,PDS,PDS3,Up_ssGSEA,RFS,130,45,TRUE,-0.19,0.195,1.46,1.08,1.99,0.043,0.61,0.034
TCGA-COAD,PDS,PDS3,Up_ssGSEA,RFS,91,21,TRUE,-0.09,0.639,1.53,0.89,2.64,0.546,0.57,0.505
GSE39582,PDS,PDS3,Down_ssGSEA,OS,131,30,TRUE,-0.21,0.267,1.5,1.03,2.18,0.275,0.6,0.645
TCGA-COAD,PDS,PDS3,Down_ssGSEA,OS,91,16,TRUE,-0.04,0.996,1.16,0.68,2,0.999,0.53,0.929
GSE39582,PDS,PDS3,Down_ssGSEA,RFS,130,45,TRUE,-0.16,0.265,1.24,0.92,1.67,0.282,0.53,0.667
TCGA-COAD,PDS,PDS3,Down_ssGSEA,RFS,91,21,TRUE,0.11,0.639,1.27,0.78,2.07,0.546,0.55,0.505
GSE39582,PDS,PDS3,Composite_ssGSEA,OS,131,30,TRUE,-0.01,0.915,0.93,0.65,1.33,0.971,0.5,0.645
TCGA-COAD,PDS,PDS3,Composite_ssGSEA,OS,91,16,TRUE,0.03,0.996,0.92,0.57,1.49,0.999,0.54,0.929
GSE39582,PDS,PDS3,Composite_ssGSEA,RFS,130,45,TRUE,0,0.998,1.09,0.81,1.46,0.587,0.54,0.396
TCGA-COAD,PDS,PDS3,Composite_ssGSEA,RFS,91,21,TRUE,-0.18,0.573,1.29,0.81,2.06,0.546,0.55,0.445
GSE39582,Stage,Stage I,Up_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-COAD,Stage,Stage I,Up_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
GSE39582,Stage,Stage I,Up_ssGSEA,RFS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-COAD,Stage,Stage I,Up_ssGSEA,RFS,75,6,TRUE,NA,NA,2.11,0.85,5.27,0.329,0.68,0.635
GSE39582,Stage,Stage I,Down_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-COAD,Stage,Stage I,Down_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
GSE39582,Stage,Stage I,Down_ssGSEA,RFS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-COAD,Stage,Stage I,Down_ssGSEA,RFS,75,6,TRUE,NA,NA,0.78,0.35,1.74,0.699,0.63,0.901
GSE39582,Stage,Stage I,Composite_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-COAD,Stage,Stage I,Composite_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
GSE39582,Stage,Stage I,Composite_ssGSEA,RFS,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-COAD,Stage,Stage I,Composite_ssGSEA,RFS,75,6,TRUE,NA,NA,3.34,1.07,10.46,0.329,0.77,0.524
GSE39582,Stage,Stage II,Up_ssGSEA,OS,269,40,TRUE,-0.06,0.779,1.15,0.84,1.59,0.692,0.52,0.842
TCGA-COAD,Stage,Stage II,Up_ssGSEA,OS,176,14,TRUE,-0.35,0.124,1.78,1.09,2.93,0.171,0.68,0.382
GSE39582,Stage,Stage II,Up_ssGSEA,RFS,267,48,TRUE,-0.1,0.55,1.2,0.89,1.61,0.464,0.53,0.772
TCGA-COAD,Stage,Stage II,Up_ssGSEA,RFS,176,29,TRUE,-0.34,0.059,1.53,1.08,2.17,0.145,0.65,0.107
GSE39582,Stage,Stage II,Down_ssGSEA,OS,269,40,TRUE,-0.01,0.982,1.07,0.78,1.48,0.742,0.51,0.842
TCGA-COAD,Stage,Stage II,Down_ssGSEA,OS,176,14,TRUE,-0.33,0.124,1.84,1.03,3.27,0.171,0.66,0.333
GSE39582,Stage,Stage II,Down_ssGSEA,RFS,267,48,TRUE,-0.05,0.763,1.14,0.86,1.53,0.54,0.53,0.772
TCGA-COAD,Stage,Stage II,Down_ssGSEA,RFS,176,29,TRUE,-0.16,0.262,1.41,0.96,2.06,0.243,0.61,0.107
GSE39582,Stage,Stage II,Composite_ssGSEA,OS,269,40,TRUE,-0,0.982,1.08,0.78,1.5,0.742,0.49,0.842
TCGA-COAD,Stage,Stage II,Composite_ssGSEA,OS,176,14,TRUE,-0.18,0.348,1.31,0.79,2.18,0.372,0.58,0.618
GSE39582,Stage,Stage II,Composite_ssGSEA,RFS,267,48,TRUE,-0.03,0.782,1.07,0.79,1.45,0.75,0.5,0.772
TCGA-COAD,Stage,Stage II,Composite_ssGSEA,RFS,176,29,TRUE,-0.29,0.088,1.28,0.9,1.81,0.287,0.59,0.307
GSE39582,Stage,Stage III,Up_ssGSEA,OS,209,40,TRUE,-0.36,0.003,1.84,1.36,2.51,0.001,0.66,0.009
TCGA-COAD,Stage,Stage III,Up_ssGSEA,OS,128,28,TRUE,-0.25,0.39,1.41,0.92,2.15,0.733,0.6,0.491
GSE39582,Stage,Stage III,Up_ssGSEA,RFS,206,72,TRUE,-0.23,0.089,1.37,1.08,1.74,0.084,0.59,0.045
TCGA-COAD,Stage,Stage III,Up_ssGSEA,RFS,128,34,TRUE,0,0.993,0.99,0.72,1.36,0.961,0.49,0.781
GSE39582,Stage,Stage III,Down_ssGSEA,OS,209,40,TRUE,0.06,0.572,0.95,0.7,1.28,0.724,0.52,0.455
TCGA-COAD,Stage,Stage III,Down_ssGSEA,OS,128,28,TRUE,-0.06,0.865,1.1,0.76,1.61,0.782,0.53,0.7
GSE39582,Stage,Stage III,Down_ssGSEA,RFS,206,72,TRUE,-0.11,0.362,1.12,0.9,1.4,0.485,0.53,0.488
TCGA-COAD,Stage,Stage III,Down_ssGSEA,RFS,128,34,TRUE,-0,0.993,1.13,0.8,1.6,0.775,0.52,0.781
GSE39582,Stage,Stage III,Composite_ssGSEA,OS,209,40,TRUE,-0.31,0.01,1.63,1.2,2.22,0.008,0.64,0.009
TCGA-COAD,Stage,Stage III,Composite_ssGSEA,OS,128,28,TRUE,-0.18,0.518,1.27,0.87,1.84,0.733,0.57,0.7
GSE39582,Stage,Stage III,Composite_ssGSEA,RFS,206,72,TRUE,-0.13,0.339,1.19,0.94,1.49,0.433,0.56,0.315
TCGA-COAD,Stage,Stage III,Composite_ssGSEA,RFS,128,34,TRUE,0.06,0.993,0.91,0.65,1.28,0.775,0.53,0.781
GSE39582,Stage,Stage IV,Up_ssGSEA,OS,60,34,TRUE,-0.17,0.879,1.36,0.97,1.91,0.326,0.59,0.481
TCGA-COAD,Stage,Stage IV,Up_ssGSEA,OS,65,28,TRUE,0.12,0.584,0.93,0.63,1.37,0.783,0.52,0.719
GSE39582,Stage,Stage IV,Up_ssGSEA,RFS,60,37,TRUE,NA,NA,1.14,0.83,1.56,0.909,0.51,0.461
TCGA-COAD,Stage,Stage IV,Up_ssGSEA,RFS,65,40,TRUE,NA,NA,1.1,0.8,1.53,0.729,0.51,0.775
GSE39582,Stage,Stage IV,Down_ssGSEA,OS,60,34,TRUE,0.16,0.879,0.77,0.54,1.11,0.501,0.61,0.57
TCGA-COAD,Stage,Stage IV,Down_ssGSEA,OS,65,28,TRUE,0.02,0.879,1.05,0.72,1.54,0.799,0.53,0.719
GSE39582,Stage,Stage IV,Down_ssGSEA,RFS,60,37,TRUE,NA,NA,0.78,0.57,1.05,0.645,0.62,0.671
TCGA-COAD,Stage,Stage IV,Down_ssGSEA,RFS,65,40,TRUE,NA,NA,1.07,0.79,1.45,0.729,0.57,0.775
GSE39582,Stage,Stage IV,Composite_ssGSEA,OS,60,34,TRUE,-0.21,0.879,1.4,1.01,1.96,0.326,0.62,0.481
TCGA-COAD,Stage,Stage IV,Composite_ssGSEA,OS,65,28,TRUE,0.11,0.584,0.91,0.61,1.35,0.783,0.54,0.895
GSE39582,Stage,Stage IV,Composite_ssGSEA,RFS,60,37,TRUE,NA,NA,1.27,0.92,1.75,0.645,0.55,0.432
