"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582 (treated)","OS","Down_ssGSEA","CMS_adjusted",0.0018185562185196,7.80174138707199e-11,42389.8531858088,0.466009652378343,0.615842763549732,0.464397427038253,0.959732994374174,0.00113037866100929,0.475490224913062,7.00775279167152,218,47,TRUE,0.466009652378343,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","PDS_adjusted",2.05473881936755,1.99691659644693e-08,211423532.826958,0.939017007231628,0.632130743139069,0.938979334256637,0.832755135143065,0.0202698065792976,4.61877160545162,118.471875079724,184,43,TRUE,0.939017007231628,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","Clinicopath",342199.519522302,42.2607765512768,2770902967.65399,0.005514356427505,0.626869158878505,0.00614337357968789,0.259550067555054,426461.298476602,-0.220127663300143,-1.69808656410018,225,46,TRUE,0.0082715346412575,TRUE
"GSE39582 (treated)","OS","Composite_ssGSEA","CMS_adjusted",25595.9315411099,1.3627056318087,480772733.424174,0.0432175688416734,0.649672424061942,0.044360507650177,0.19312373526808,729690.866632226,-3.35018755940639,-24.815512520585,218,47,TRUE,0.0648263532625101,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","PDS_adjusted",51.9934570255154,0.000899678226273235,3004762.69683902,0.480015319658505,0.637526981190256,0.481037020771593,0.316123057829711,115536.084136187,-7.70622029268333,-66.1061742889434,184,43,TRUE,0.720022979487758,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","Clinicopath",402677.559205935,65.8279169043848,2463228738.09863,0.00371741667059236,0.61959393161748,0.00467314815021699,0.38889077075375,498172.533347005,-0.212810329058973,-1.6221904662414,224,75,TRUE,0.0111522500117771,TRUE
"GSE39582 (treated)","RFS","Up_ssGSEA","CMS_adjusted",34986.2940673751,1.08357096811328,1129635998.55407,0.0482550328483976,0.597289675701081,0.0502043679838502,0.165881826586131,140662.385389929,-1.39140620256825,-11.7377456343049,217,75,TRUE,0.144765098545193,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","PDS_adjusted",110.334988507136,0.000355366794544055,34257026.474545,0.466007246351836,0.600993377483444,0.466635991037163,0.177630545245544,65759.2192424487,-6.39023406865408,-57.6020831388396,183,63,TRUE,0.714825663120342,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","Clinicopath",21.9620583713055,3.87624328672254e-05,12443285.2178495,0.647622310175972,0.55083402520945,0.647055967535164,0.63927573951735,85.071165781189,-1.35417180567729,-30.4754229055315,224,75,TRUE,0.647622310175972,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","CMS_adjusted",34.9410211418425,7.85801600582294e-05,15536682.0012837,0.592259356888803,0.574886417045277,0.592478398578168,0.931742018059956,106.166483445116,-1.11134693068987,-23.8230421249572,217,75,TRUE,0.592259356888803,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","PDS_adjusted",200.335160662706,9.21179929160217e-05,435682273.650277,0.476550442080228,0.596799116997792,0.47358406867351,0.729135769448593,99.9796510475493,0.695025091513173,15.0929450841021,183,63,TRUE,0.714825663120342,FALSE
