IBD_UC_epithelial_up_Smillie2019,Fetal_intestinal_Mustata2013,MYC_targets_Hallmark_V1_V2,Revival_revSC_Ayyaz2019,CBC_crypt_base_columnar
,ENSG00000049283,ENSG00000185238,ENSG00000115306,
,ENSG00000139926,ENSG00000177192,ENSG00000117984,
,ENSG00000170017,ENSG00000136933,ENSG00000184990,
,ENSG00000108798,ENSG00000120158,ENSG00000083799,
,ENSG00000108641,ENSG00000052749,ENSG00000140832,
,ENSG00000011590,ENSG00000173638,ENSG00000111832,
,ENSG00000188910,ENSG00000174669,ENSG00000186212,
,ENSG00000161714,ENSG00000140263,ENSG00000125398,
,ENSG00000159388,ENSG00000156502,ENSG00000171345,
,ENSG00000117479,ENSG00000136270,ENSG00000146386,
,ENSG00000101187,ENSG00000070814,ENSG00000170876,
,ENSG00000175866,ENSG00000162851,ENSG00000013364,
,ENSG00000134899,ENSG00000109084,ENSG00000022277,
,ENSG00000100439,ENSG00000076248,ENSG00000138018,
,ENSG00000104783,ENSG00000120800,ENSG00000097033,
,ENSG00000139549,ENSG00000163811,ENSG00000198087,
,ENSG00000152056,ENSG00000133316,ENSG00000170345,
,ENSG00000162552,,ENSG00000185650,
,ENSG00000107249,,ENSG00000146063,
,ENSG00000145779,,ENSG00000085224,
,ENSG00000168404,,ENSG00000119139,
,ENSG00000181649,,ENSG00000169903,
,ENSG00000175592,,ENSG00000156374,
,ENSG00000112679,,ENSG00000100836,
,ENSG00000126803,,ENSG00000095139,
,ENSG00000142279,,ENSG00000165119,
,ENSG00000003096,,ENSG00000198858,
,ENSG00000004660,,ENSG00000089289,
,ENSG00000149260,,ENSG00000005302,
,ENSG00000003147,,ENSG00000211460,
,ENSG00000120889,,ENSG00000116266,
,ENSG00000099860,,ENSG00000172197,
,ENSG00000131558,,ENSG00000137752,
,ENSG00000091844,,ENSG00000082269,
,ENSG00000135604,,ENSG00000147650,
,ENSG00000105372,,ENSG00000124422,
,ENSG00000169919,,ENSG00000161921,
,ENSG00000149257,,ENSG00000055950,
,ENSG00000169169,,ENSG00000119547,
,ENSG00000109794,,ENSG00000058085,
,,,ENSG00000136754,
,,,ENSG00000124942,
,,,ENSG00000114978,
,,,ENSG00000169714,
,,,ENSG00000158042,
,,,ENSG00000137845,
,,,ENSG00000115685,
,,,ENSG00000104472,
,,,ENSG00000173473,
,,,ENSG00000173812,
,,,ENSG00000118260,
,,,ENSG00000112110,
,,,ENSG00000152795,
,,,ENSG00000157625,
,,,ENSG00000105255,
,,,ENSG00000107581,
,,,ENSG00000253276,
,,,ENSG00000073614,
,,,ENSG00000108654,
,,,ENSG00000079950,
,,,ENSG00000107036,
,,,ENSG00000083223,
,,,ENSG00000135018,
,,,ENSG00000185728,
,,,ENSG00000090989,
,,,ENSG00000153006,
,,,ENSG00000144713,
,,,ENSG00000138119,
,,,ENSG00000071082,
,,,ENSG00000138448,
,,,ENSG00000112335,
,,,ENSG00000061676,
,,,ENSG00000006715,
,,,ENSG00000175203,
,,,ENSG00000185825,
,,,ENSG00000070756,
,,,ENSG00000168214,
,,,ENSG00000176273,
,,,ENSG00000100201,
,,,ENSG00000101367,
,,,ENSG00000151240,
,,,ENSG00000149187,
,,,ENSG00000168938,
,,,ENSG00000069275,
,,,ENSG00000137942,
,,,ENSG00000100300,
,,,ENSG00000073803,
,,,ENSG00000163399,
,,,ENSG00000157827,
,,,ENSG00000158411,
,,,ENSG00000147140,
,,,ENSG00000088826,
,,,ENSG00000175868,
,,,ENSG00000188846,
,,,ENSG00000232112,
,,,ENSG00000109814,
,,,ENSG00000165389,
,,,ENSG00000062716,
,,,ENSG00000158769,
,,,ENSG00000113657,
,,,ENSG00000149231,
,,,ENSG00000080493,
,,,ENSG00000126247,
,,,ENSG00000166913,
,,,ENSG00000161542,
,,,ENSG00000016864,
,,,ENSG00000152601,
,,,ENSG00000119711,
,,,ENSG00000151239,
,,,ENSG00000119707,
,,,ENSG00000058063,
,,,ENSG00000188643,
,,,ENSG00000214944,
,,,ENSG00000113161,
,,,ENSG00000126777,
,,,ENSG00000112701,
,,,ENSG00000215301,
,,,ENSG00000140836,
,,,ENSG00000196591,
,,,ENSG00000109079,
,,,ENSG00000156006,
,,,ENSG00000100567,
,,,ENSG00000143761,
,,,ENSG00000046604,
,,,ENSG00000165322,
,,,ENSG00000115183,
,,,ENSG00000104687,
,,,ENSG00000204120,
,,,ENSG00000109321,
,,,ENSG00000110066,
,,,ENSG00000111897,
,,,ENSG00000139793,
,,,ENSG00000108848,
,,,ENSG00000116668,
,,,ENSG00000116106,
,,,ENSG00000166387,
,,,ENSG00000107223,
,,,ENSG00000187555,
,,,ENSG00000137364,
,,,ENSG00000185787,
,,,ENSG00000143401,
,,,ENSG00000134375,
,,,ENSG00000100664,
,,,ENSG00000125977,
,,,ENSG00000008283,
,,,ENSG00000198218,
,,,ENSG00000071462,
,,,ENSG00000162735,
,,,ENSG00000079257,
,,,ENSG00000143549,
,,,ENSG00000184009,
,,,ENSG00000250722,
