"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582","RFS","Composite_ssGSEA","Clinicopath",379.682660056287,2.1078220373529,68392.3594083205,0.0250030604105119,0.668537360890302,0.0263993340454531,0.969526983059918,821.328186953536,-0.771586971370312,-11.4974795241308,528,151,TRUE,0.0395990010681797,TRUE
"GSE39582","RFS","Composite_ssGSEA","CMS_adjusted",333.012787899917,1.0180901491643,108927.011027368,0.049294838236534,0.604678602575283,0.0512886131907969,0.758629172522756,2173.12403039481,-1.87574016523694,-24.4112368076741,510,144,TRUE,0.0769329197861954,FALSE
"GSE39582","RFS","Composite_ssGSEA","PDS_adjusted",354.689440235204,0.670370378579599,187664.316673599,0.0665096671937347,0.586218615914015,0.0677011806525243,0.677766495330921,2873.38938766645,-2.09200499290643,-26.2707516127223,454,130,TRUE,0.101551770978786,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","Clinicopath",195587956.928551,969.209623826335,39469943297157.7,0.00218888825038426,0.634345794392523,0.00305555189018463,0.104584158383692,260573136.755444,-0.286873391277954,-1.48037752395099,225,46,TRUE,0.00916665567055388,TRUE
"GSE39582 (treated)","OS","Up_ssGSEA","CMS_adjusted",5307830.84556021,3.60379416130186,7817613055597.78,0.0326079677331456,0.661226920786182,0.0348016181405049,0.0960221477668192,382368966.079065,-4.27720277410045,-21.6436856490105,218,47,TRUE,0.0665407614752654,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","PDS_adjusted",5630.27994017938,0.000448945111750777,70610084340.0741,0.300397591399984,0.645390070921986,0.302842629482717,0.16478128098625,155727159.969844,-10.2277016165775,-54.2191994597456,184,43,TRUE,0.72155553115739,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","Clinicopath",0.000332119820963128,2.091339700531e-12,52743.0218288179,0.405752284014116,0.581658878504673,0.406472127002902,0.728778060568756,0.000486678154547886,-0.38210722067021,-5.00933210476179,225,46,TRUE,0.406472127002902,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","CMS_adjusted",0.00102609208756296,9.44978984013725e-12,111416.760580998,0.466009652378343,0.615842763549732,0.464397427038253,0.959732994374177,0.000610877227843956,0.51861677310751,7.00775279167162,218,47,TRUE,0.464397427038253,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","PDS_adjusted",2.19342797836818,3.99953309867395e-09,1202921985.53963,0.939017007231627,0.632130743139069,0.938979334256047,0.832755135143068,0.0142325376766538,5.03769015688567,118.471875079724,184,43,TRUE,0.938979334256047,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","Clinicopath",1087010.41185803,59.3483408218736,19909429970.9937,0.00551435642750499,0.626869158878505,0.00614337357968789,0.259550067555053,1381989.65081658,-0.240093050142701,-1.69808656410019,225,46,TRUE,0.00921506036953183,TRUE
